videoID,category,views,length
kyZRiEJnIag,Entertainment,3133534,32
PIRS95CbJNw,Entertainment,3083565,20
hGOTf3Xl6Qs,Entertainment,3021809,231
B8H29jU8Wrs,Entertainment,2806422,73
e0yX5Ns6gh4,Entertainment,2802303,61
Zt5-wn3fvlw,Entertainment,2742497,210
tScm-eZInBE,Entertainment,2675254,73
PspCAKdqzW4,Entertainment,2637041,130
yRmqZRPgK1w,Entertainment,2631575,268
IsyWlcQAy-Q,Entertainment,2486628,83
EFJ1-VrnRPc,Entertainment,2476944,39
1xXNoB3t8vM,Entertainment,2378328,71
eBXal1GAA4A,Entertainment,2324802,60
NvQScRuZj9s,Entertainment,2318862,151
MC8Zvl-8ziA,Entertainment,2317777,58
MSBykAngDpY,Entertainment,2298815,134
sj3xG81zgP4,Entertainment,2278422,100
G6EhL54Hhrw,Entertainment,2274322,118
DttxKIA_AxU,Entertainment,2271081,145
iYhCn0jf46U,Entertainment,2253008,74
nvbQQnvxXDk,Entertainment,2231992,62
HgtmETjMT7Y,Entertainment,2192326,265
LVCb52iQrfo,Entertainment,2178278,125
l3aLGXOg9Gg,Entertainment,2166101,341
vzSRVgF501M,Entertainment,2149276,99
BFP0q4qzGw4,Entertainment,2127028,225
CqAbPfraJ_g,Entertainment,2008137,63
Ms6BtRYMtpw,Entertainment,2003889,235
pX5gRaxcviE,Entertainment,1957631,45
JFVN59sR4lY,Entertainment,1938429,54
OEmss2lg-ug,Entertainment,1859974,110
kyHhGojrQY0,Entertainment,1856879,280
JZCHpacxl4c,Entertainment,1821792,186
3SCJLlSf21Y,Entertainment,1779922,157
u4MXHPfMYXg,Entertainment,1773478,145
fxSL9mhidAY,Entertainment,1743813,206
OKQ37Adtr3Y,Entertainment,1693426,302
yMB-lOZo0PA,Entertainment,1682354,247
5Lby0i0TUvQ,Entertainment,1651236,14
CuYD2cwMbpw,Entertainment,1649511,88
GzCeoGSSbC0,Entertainment,1647475,213
